iter	Logloss_SumError	Logloss_SumWeight	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	55271.2758	81410	50284	81410	16984	27529	37565
1	54371.06296	81410	50614	81410	17331	27893	37565
2	53793.09671	81410	50641	81410	17092	27388	37565
3	53331.9355	81410	50781	81410	17118	27300	37565
4	53049.2589	81410	50916	81410	16705	26339	37565
5	52813.65473	81410	50979	81410	16955	26776	37565
6	52605.51217	81410	51113	81410	16938	26608	37565
7	52463.6611	81410	51136	81410	16953	26615	37565
8	52330.44264	81410	51256	81410	17012	26613	37565
9	52226.9842	81410	51264	81410	17079	26739	37565
10	52129.66753	81410	51338	81410	17104	26715	37565
11	52048.3628	81410	51390	81410	17112	26679	37565
12	51945.36937	81410	51515	81410	17212	26754	37565
13	51851.9621	81410	51620	81410	17249	26723	37565
14	51801.83542	81410	51622	81410	17299	26821	37565
15	51716.55461	81410	51738	81410	17402	26911	37565
16	51659.33327	81410	51782	81410	17449	26961	37565
17	51628.76371	81410	51834	81410	17479	26969	37565
18	51562.73197	81410	51884	81410	17548	27057	37565
19	51490.85448	81410	51940	81410	17623	27151	37565
20	51441.89033	81410	51991	81410	17655	27164	37565
21	51402.19428	81410	52080	81410	17800	27365	37565
22	51351.5404	81410	52168	81410	17867	27411	37565
23	51292.68176	81410	52239	81410	17945	27496	37565
24	51207.33698	81410	52334	81410	18047	27605	37565
25	51173.80915	81410	52343	81410	18088	27678	37565
26	51141.4429	81410	52406	81410	18147	27733	37565
27	51092.88972	81410	52498	81410	18236	27819	37565
28	51039.09778	81410	52541	81410	18316	27936	37565
29	51007.82638	81410	52610	81410	18392	28019	37565
30	50960.70027	81410	52646	81410	18452	28103	37565
31	50919.72427	81410	52681	81410	18513	28190	37565
32	50882.82603	81410	52734	81410	18574	28259	37565
33	50859.95798	81410	52784	81410	18605	28271	37565
34	50818.78397	81410	52868	81410	18624	28225	37565
35	50769.74447	81410	52935	81410	18705	28320	37565
36	50742.20753	81410	52943	81410	18736	28374	37565
37	50718.73348	81410	52992	81410	18789	28431	37565
38	50689.1622	81410	52999	81410	18802	28450	37565
39	50650.2858	81410	53015	81410	18878	28586	37565
40	50615.76419	81410	53076	81410	18907	28583	37565
41	50591.23706	81410	53085	81410	18926	28612	37565
42	50562.20535	81410	53104	81410	18946	28633	37565
43	50544.91629	81410	53126	81410	18983	28685	37565
44	50531.82581	81410	53150	81410	19008	28711	37565
45	50497.88358	81410	53167	81410	19046	28770	37565
46	50478.60359	81410	53225	81410	19081	28782	37565
47	50441.29561	81410	53260	81410	19138	28861	37565
48	50414.79513	81410	53285	81410	19175	28910	37565
49	50386.15779	81410	53309	81410	19248	29032	37565
50	50368.39607	81410	53315	81410	19274	29078	37565
51	50352.19905	81410	53338	81410	19296	29099	37565
52	50315.67443	81410	53366	81410	19323	29125	37565
53	50284.32762	81410	53406	81410	19342	29123	37565
54	50261.059	81410	53438	81410	19379	29165	37565
55	50215.60443	81410	53477	81410	19421	29210	37565
56	50197.37438	81410	53515	81410	19457	29244	37565
57	50135.88369	81410	53597	81410	19542	29332	37565
58	50104.13515	81410	53654	81410	19585	29361	37565
59	50078.29225	81410	53698	81410	19634	29415	37565
60	50047.67833	81410	53717	81410	19648	29424	37565
61	50031.93131	81410	53738	81410	19672	29451	37565
62	49995.1585	81410	53757	81410	19700	29488	37565
63	49972.93883	81410	53774	81410	19714	29499	37565
64	49955.03111	81410	53786	81410	19720	29499	37565
65	49912.31284	81410	53829	81410	19775	29566	37565
66	49869.23357	81410	53895	81410	19831	29612	37565
67	49834.09829	81410	53911	81410	19858	29650	37565
68	49804.33655	81410	53959	81410	19889	29664	37565
69	49753.00213	81410	54036	81410	19943	29695	37565
70	49720.67876	81410	54062	81410	19963	29709	37565
